                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.62019,                0.53261,                 1.0937,                   0.95,                0.94444,                0.95856,                0.83835,                0.59578,                0.60626,                 1.1559,             0.00083083,             0.00083083,             0.00083083
                     78,                0.59944,                0.50913,                 1.0764,                0.93693,                0.93056,                0.95868,                0.86541,                0.62174,                0.59817,                 1.1342,             0.00081983,             0.00081983,             0.00081983
                     79,                0.62632,                0.50905,                 1.0928,                0.98379,                 0.9576,                0.97669,                0.87742,                 0.6059,                0.50006,                 1.1189,             0.00080883,             0.00080883,             0.00080883
                     80,                0.59601,                0.49128,                 1.0598,                   0.96,                0.93646,                 0.9689,                 0.8773,                0.54263,                0.51241,                 1.0784,             0.00079783,             0.00079783,             0.00079783
                     81,                0.63284,                0.50513,                 1.0979,                0.93902,                0.93056,                0.94826,                0.83426,                0.55318,                0.59147,                 1.0937,             0.00078682,             0.00078682,             0.00078682
                     82,                0.59734,                0.49292,                 1.0724,                0.95869,                0.95833,                0.97525,                0.87519,                0.52283,                0.49169,                 1.0621,             0.00077582,             0.00077582,             0.00077582
                     83,                0.61779,                0.51314,                 1.0982,                   0.95,                0.94444,                0.95769,                0.83708,                 0.5933,                0.53352,                 1.1369,             0.00076482,             0.00076482,             0.00076482
                     84,                0.56612,                0.48313,                 1.0619,                0.94957,                 0.9411,                0.96926,                 0.8772,                0.56352,                0.46121,                 1.1086,             0.00075382,             0.00075382,             0.00075382
                     85,                0.59134,                0.49985,                 1.0754,                0.94582,                0.94444,                0.96778,                0.87387,                0.51484,                0.50666,                 1.0656,             0.00074282,             0.00074282,             0.00074282
                     86,                0.61202,                0.53213,                 1.0911,                0.96053,                0.94444,                0.96335,                0.86171,                0.54481,                0.51781,                 1.0758,             0.00073181,             0.00073181,             0.00073181
                     87,                0.66811,                0.55228,                 1.1387,                0.97365,                0.95766,                0.97607,                0.86593,                0.58211,                0.52728,                 1.1458,             0.00072081,             0.00072081,             0.00072081
                     88,                0.59566,                 0.5215,                 1.0784,                   0.95,                0.94444,                0.95479,                0.86528,                0.57112,                0.61972,                 1.1123,             0.00070981,             0.00070981,             0.00070981
                     89,                0.61066,                 0.5206,                 1.0877,                0.99138,                0.96958,                 0.9855,                0.88191,                0.56407,                0.45842,                 1.0908,             0.00069881,             0.00069881,             0.00069881
                     90,                0.60104,                0.50263,                 1.0745,                0.96154,                0.95833,                0.97382,                0.87357,                0.56234,                0.63994,                 1.0984,              0.0006878,              0.0006878,              0.0006878
                     91,                0.55861,                0.45729,                 1.0555,                0.95368,                0.88134,                0.93352,                0.84204,                0.53067,                0.60777,                 1.0832,              0.0006768,              0.0006768,              0.0006768
                     92,                 0.5722,                0.48882,                 1.0669,                0.97222,                0.97222,                0.98467,                0.88912,                0.56092,                0.51526,                  1.098,              0.0006658,              0.0006658,              0.0006658
                     93,                0.57014,                0.47541,                 1.0652,                0.97368,                0.97222,                0.98218,                0.91075,                0.50549,                0.53441,                 1.0538,              0.0006548,              0.0006548,              0.0006548
                     94,                0.56192,                0.45652,                 1.0551,                0.97368,                0.97222,                0.98256,                0.89399,                0.53506,                0.56609,                 1.0593,              0.0006438,              0.0006438,              0.0006438
                     95,                0.57599,                0.47949,                 1.0571,                0.98641,                0.96947,                0.98282,                0.87669,                0.56879,                0.50946,                 1.1164,             0.00063279,             0.00063279,             0.00063279
                     96,                0.55174,                0.47163,                 1.0567,                   0.95,                0.94444,                0.95963,                0.85405,                0.59637,                0.62358,                 1.1541,             0.00062179,             0.00062179,             0.00062179
                     97,                0.58978,                0.49783,                 1.0817,                0.98164,                0.93115,                0.97738,                0.88029,                0.59305,                0.58365,                 1.1288,             0.00061079,             0.00061079,             0.00061079
                     98,                0.57045,                0.48754,                 1.0694,                0.97222,                0.97222,                  0.983,                0.89236,                0.60755,                0.59785,                 1.1364,             0.00059979,             0.00059979,             0.00059979
                     99,                0.57859,                0.47424,                 1.0702,                0.95869,                0.95833,                0.97695,                0.89073,                0.54376,                0.60518,                 1.0969,             0.00058878,             0.00058878,             0.00058878
                    100,                0.57105,                0.47589,                 1.0564,                0.99383,                0.93056,                0.97502,                 0.8943,                0.55899,                0.56177,                 1.1054,             0.00057778,             0.00057778,             0.00057778
                    101,                0.58138,                0.48606,                 1.0689,                0.96154,                0.95833,                0.95892,                0.87068,                 0.5135,                0.48304,                 1.0878,             0.00056678,             0.00056678,             0.00056678
                    102,                0.56912,                0.47273,                 1.0662,                      1,                0.98407,                 0.9904,                0.89837,                0.51464,                0.41354,                 1.0756,             0.00055578,             0.00055578,             0.00055578
                    103,                0.55499,                0.46836,                 1.0553,                0.96154,                0.95833,                0.96825,                0.88256,                0.52877,                0.59083,                 1.0778,             0.00054478,             0.00054478,             0.00054478
                    104,                0.55789,                  0.454,                 1.0523,                0.96154,                0.95833,                0.97025,                0.87338,                0.54183,                0.58981,                  1.088,             0.00053377,             0.00053377,             0.00053377
                    105,                 0.5698,                0.45208,                 1.0707,                0.96849,                0.95833,                 0.9669,                0.88231,                0.53479,                0.53795,                 1.0781,             0.00052277,             0.00052277,             0.00052277
                    106,                0.52864,                0.43408,                 1.0284,                   0.95,                0.94444,                 0.9559,                0.86555,                0.56104,                0.55215,                 1.1034,             0.00051177,             0.00051177,             0.00051177
                    107,                0.54666,                0.44845,                 1.0509,                   0.95,                0.94444,                0.95817,                0.86428,                 0.5767,                0.63219,                 1.1219,             0.00050077,             0.00050077,             0.00050077
                    108,                0.53237,                0.42856,                 1.0428,                0.99307,                0.92923,                0.97013,                0.88401,                0.53448,                0.43144,                 1.0744,             0.00048976,             0.00048976,             0.00048976
                    109,                0.55996,                0.45822,                 1.0533,                      1,                0.91069,                0.96931,                0.88123,                0.50726,                0.42731,                 1.0726,             0.00047876,             0.00047876,             0.00047876
                    110,                0.51941,                0.44982,                 1.0454,                0.97346,                0.94015,                0.96686,                0.86889,                0.55626,                0.52369,                 1.1164,             0.00046776,             0.00046776,             0.00046776
                    111,                0.54138,                 0.4446,                 1.0325,                0.97362,                0.95717,                0.97371,                0.88911,                0.55225,                0.46521,                 1.1209,             0.00045676,             0.00045676,             0.00045676
                    112,                0.52837,                0.44341,                 1.0457,                0.97102,                0.95833,                0.97126,                0.88258,                0.53437,                0.45896,                 1.1018,             0.00044576,             0.00044576,             0.00044576
                    113,                0.52557,                0.44769,                 1.0353,                   0.95,                0.94444,                0.95793,                0.87554,                0.48206,                 0.4654,                 1.0461,             0.00043475,             0.00043475,             0.00043475
                    114,                0.55356,                0.44295,                 1.0522,                0.96154,                0.95833,                0.95627,                 0.8707,                0.52352,                 0.5098,                 1.0782,             0.00042375,             0.00042375,             0.00042375
                    115,                0.53567,                0.42094,                 1.0344,                0.96154,                0.95833,                0.96619,                0.88678,                0.49647,                0.46852,                 1.0511,             0.00041275,             0.00041275,             0.00041275
                    116,                0.57442,                0.45571,                 1.0594,                   0.95,                0.94444,                0.94708,                 0.8735,                0.50259,                0.52674,                 1.0501,             0.00040175,             0.00040175,             0.00040175
                    117,                0.53346,                0.44829,                 1.0328,                0.93089,                0.93056,                0.95484,                0.87808,                 0.5054,                0.46171,                 1.0608,             0.00039074,             0.00039074,             0.00039074
                    118,                 0.5028,                0.41543,                 1.0244,                0.97776,                0.92528,                 0.9655,                0.89354,                0.53817,                0.43721,                 1.0987,             0.00037974,             0.00037974,             0.00037974
                    119,                 0.5294,                0.44915,                 1.0444,                0.96053,                0.93983,                0.96413,                 0.8916,                0.53966,                0.47363,                 1.1084,             0.00036874,             0.00036874,             0.00036874
                    120,                0.51781,                 0.4415,                 1.0264,                0.96154,                0.95833,                0.96943,                0.88489,                0.50578,                0.49072,                 1.0602,             0.00035774,             0.00035774,             0.00035774
                    121,                0.53468,                0.43413,                 1.0354,                0.97368,                0.97222,                0.98095,                 0.9098,                0.49878,                0.43255,                 1.0492,             0.00034674,             0.00034674,             0.00034674
                    122,                0.51332,                0.42315,                 1.0297,                0.96154,                0.95833,                 0.9734,                0.89544,                0.56263,                0.52779,                 1.1047,             0.00033573,             0.00033573,             0.00033573
                    123,                0.51931,                0.42559,                 1.0256,                0.96154,                0.95833,                0.97382,                0.88128,                0.56606,                0.57073,                 1.1214,             0.00032473,             0.00032473,             0.00032473
                    124,                0.51855,                0.41737,                 1.0473,                0.95122,                0.94444,                0.96857,                0.89157,                0.49809,                0.46963,                 1.0432,             0.00031373,             0.00031373,             0.00031373
                    125,                0.53519,                0.44271,                 1.0428,                0.98268,                0.93056,                0.96661,                0.89658,                0.50128,                0.49216,                 1.0467,             0.00030273,             0.00030273,             0.00030273
                    126,                0.52378,                0.40755,                 1.0358,                0.96154,                0.95833,                0.97073,                0.89722,                0.49115,                0.46486,                 1.0461,             0.00029172,             0.00029172,             0.00029172
                    127,                 0.4933,                0.41058,                 1.0142,                0.96154,                0.95833,                0.97267,                0.89406,                0.52415,                0.53527,                 1.0823,             0.00028072,             0.00028072,             0.00028072
                    128,                0.50832,                0.42887,                 1.0159,                0.97368,                0.97222,                0.98104,                0.90242,                0.47858,                0.45858,                 1.0463,             0.00026972,             0.00026972,             0.00026972
                    129,                0.53011,                0.41422,                 1.0236,                0.98649,                0.98611,                0.98864,                0.90191,                0.48904,                0.43544,                 1.0547,             0.00025872,             0.00025872,             0.00025872
                    130,                0.51694,                0.43921,                 1.0392,                0.96154,                0.95833,                0.97089,                 0.8882,                0.52603,                0.50699,                 1.0813,             0.00024772,             0.00024772,             0.00024772
                    131,                0.52661,                0.43598,                 1.0381,                0.96154,                0.95833,                0.96895,                0.88314,                0.52047,                0.49049,                 1.0675,             0.00023671,             0.00023671,             0.00023671
                    132,                0.51866,                  0.428,                 1.0527,                0.96154,                0.95833,                0.97425,                0.89809,                0.50726,                0.47867,                 1.0643,             0.00022571,             0.00022571,             0.00022571
                    133,                0.51394,                0.43475,                  1.038,                0.98649,                0.98611,                0.98972,                0.92256,                0.49725,                0.44356,                 1.0642,             0.00021471,             0.00021471,             0.00021471
                    134,                0.52134,                0.41977,                 1.0326,                0.98649,                0.98611,                0.98972,                0.91916,                0.50662,                0.45787,                 1.0598,             0.00020371,             0.00020371,             0.00020371
                    135,                0.50567,                0.41406,                 1.0275,                0.97368,                0.97222,                0.98133,                0.90476,                0.49536,                0.47688,                 1.0503,             0.00019271,             0.00019271,             0.00019271
                    136,                0.48079,                0.40218,                 1.0072,                0.96022,                0.94444,                0.95706,                0.87857,                0.49133,                0.50973,                 1.0535,              0.0001817,              0.0001817,              0.0001817
                    137,                0.49995,                0.41458,                 1.0249,                0.95993,                0.94444,                0.95182,                0.88067,                0.51934,                 0.5802,                 1.0756,              0.0001707,              0.0001707,              0.0001707
                    138,                0.49053,                0.42557,                 1.0144,                0.96154,                0.95833,                0.96667,                0.89012,                0.52623,                0.56068,                 1.0802,              0.0001597,              0.0001597,              0.0001597
                    139,                0.51223,                0.41984,                 1.0392,                0.96154,                0.95833,                0.97153,                0.89593,                0.49582,                 0.5146,                 1.0583,              0.0001487,              0.0001487,              0.0001487
                    140,                0.33618,                0.26354,                 0.8919,                0.96055,                0.94444,                0.96298,                0.90087,                 0.5214,                0.54161,                 1.0772,             0.00013769,             0.00013769,             0.00013769
                    141,                0.31282,                0.28568,                0.88364,                0.96031,                0.94444,                0.96202,                0.89505,                0.52686,                0.53186,                 1.0803,             0.00012669,             0.00012669,             0.00012669
                    142,                 0.2941,                0.23082,                0.87423,                0.97368,                0.97222,                0.98061,                0.91581,                0.51876,                0.48885,                 1.0767,             0.00011569,             0.00011569,             0.00011569
                    143,                0.28321,                 0.2228,                0.85778,                0.97297,                0.95651,                0.97541,                 0.9129,                0.52223,                0.52061,                  1.085,             0.00010469,             0.00010469,             0.00010469
                    144,                 0.2873,                0.23271,                0.88025,                0.96154,                0.95833,                0.96973,                0.90686,                0.50481,                0.46953,                 1.0699,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    145,                0.29344,                0.22869,                0.87726,                0.96154,                0.95833,                0.96973,                0.90647,                0.48906,                0.46332,                   1.06,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    146,                  0.286,                0.22262,                0.86308,                0.96154,                0.95833,                0.96943,                0.90883,                0.48824,                0.47442,                 1.0562,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    147,                0.29028,                0.22797,                0.87158,                0.96154,                0.95833,                 0.9684,                0.91129,                0.49181,                0.50904,                 1.0583,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    148,                0.27894,                0.21872,                0.87145,                0.96154,                0.95833,                0.96749,                0.90935,                0.48833,                0.50487,                 1.0555,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    149,                0.28257,                0.21687,                0.87725,                0.96154,                0.95833,                0.96628,                0.90344,                0.47119,                0.47404,                 1.0414,             3.8674e-05,             3.8674e-05,             3.8674e-05
